id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_10167,Single Family Residential,Staten Island,2.0,3.0,Great Kills,2226.0,1234.0,1990.0,1024.0,,40.5468478,-74.14174059999998,Great Kills,No
NY_3366,Condo/Co-op,Whitestone,2.0,1.0,Clearview Gardens,800.0,,1950.0,380.0,,40.7864882,-73.80191140000002,Clearview Gardens,wood floor
NY_10666,Single Family Residential,Little Neck,3.0,1.5,Little Neck,4200.0,4200.0,1945.0,344.0,,40.760562,-73.719101,Little Neck,wood floor
NY_7297,Multi-Family (2-4 Unit),Bronx,9.0,3.0,Bronx,3474.0,2252.0,1902.0,270.0,,40.8324487,-73.92939190000001,Bronx,No
NY_7073,Multi-Family (2-4 Unit),Bronx,3.0,2.5,Bronx,4015.0,,1967.0,239.0,,40.8218239,-73.8474888,Bronx,No
NY_9119,Townhouse,Staten Island,4.0,3.0,Port Richmond,2065.0,3712.0,2017.0,1041.0,35.0,40.63854129999999,-74.1418795,Port Richmond,No
NY_10141,Single Family Residential,Staten Island,3.0,2.0,Great Kills,1360.0,2496.0,1965.0,773.0,,40.553861100000006,-74.1528287,Great Kills,No
NY_3293,Condo/Co-op,Rockaway Park,1.0,1.0,Belle Harbor Apts Corp,725.0,,1960.0,880.0,,40.5756967,-73.8423344,Belle Harbor Apts Corp,wood floor
NY_1364,Condo/Co-op,Bronx,1.0,1.0,Riverdale,750.0,,1953.0,891.0,,40.8876468,-73.90984940000001,Riverdale,No
NY_4576,Single Family Residential,Bellerose,4.0,3.0,Bellerose,1500.0,3000.0,1935.0,859.0,,40.725572,-73.726888,Bellerose,No
NY_309,Multi-Family (2-4 Unit),Bronx,9.0,6.0,Bronx,3324.0,2500.0,1901.0,568.0,,40.81702,-73.89840600000002,Bronx,hardwood floor
NY_7838,Single Family Residential,Staten Island,2.0,1.0,Mariners Harbor,640.0,3870.0,1901.0,506.0,,40.6390898,-74.1639868,Mariners Harbor,No
NY_9210,Single Family Residential,Staten Island,3.0,2.0,Westerleigh,1193.0,5000.0,1920.0,417.0,,40.6240402,-74.13553420000002,Westerleigh,No
NY_10262,Single Family Residential,Staten Island,3.0,3.0,Heartland Village,2016.0,2520.0,1997.0,299.0,75.0,40.5753745,-74.1633512,Heartland Village,No
NY_7996,Single Family Residential,Staten Island,3.0,3.0,Mariners Harbor,1204.0,1204.0,2003.0,495.0,118.0,40.626917,-74.1568463,Mariners Harbor,No
NY_186,Single Family Residential,Fresh Meadows,4.0,2.5,Fresh Meadows,4000.0,4000.0,1950.0,642.0,,40.729492,-73.787113,Fresh Meadows,wood floor
NY_11181,Multi-Family (2-4 Unit),Flushing,5.0,4.0,Flushing,3000.0,6000.0,1935.0,998.0,,40.758522,-73.799224,,
NY_5949,Condo/Co-op,Bronx,2.0,1.0,Bronx,844.0,,1980.0,44.0,910.0,40.8409393,-73.8609478,Bronx,No
NY_10085,Single Family Residential,Staten Island,2.0,3.0,Great Kills,1134.0,616.0,1989.0,544.0,75.0,40.5522335,-74.14496940000002,Great Kills,No
NY_5003,Single Family Residential,Staten Island,2.0,2.0,Midland Beach,1020.0,1500.0,1981.0,1067.0,200.0,40.570279600000006,-74.09240559999998,Midland Beach,No
NY_6150,Townhouse,Maspeth,2.0,2.0,Queens,1697.0,2200.0,1940.0,26.0,,40.722868,-73.890357,Queens,wood floor
NY_8771,Townhouse,Bronx,2.0,2.0,Bronx,1463.0,1999.0,1945.0,953.0,,40.826546,-73.826809,Bronx,hardwood floor
NY_2270,Single Family Residential,Glen Oaks,4.0,2.0,Glen Oaks,2000.0,4000.0,1969.0,591.0,,40.739514,-73.70835,Glen Oaks,wood floor
NY_30,Condo/Co-op,Bayside,1.0,1.0,Baybridge,700.0,,1982.0,1013.0,120.0,40.78663770000001,-73.7858464,Baybridge,No
